stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
BA,211.6300048828125,14,206.7899932861328,-67.76016235351562,2021-01-05,2021-01-11
WMT,46.31205749511719,63,45.183956146240234,-71.07038497924805,2021-01-14,2021-01-19
PG,119.49186706542969,23,116.9779052734375,-57.82112121582031,2021-01-20,2021-01-27
MCD,188.80784606933594,14,194.86044311523438,84.73635864257812,2021-01-28,2021-02-17
AXP,122.52196502685547,23,130.71295166015625,188.39269256591797,2021-02-18,2021-02-25
TRV,133.74313354492188,23,144.94866943359375,257.7273254394531,2021-02-26,2021-03-18
INTC,57.99052810668945,57,57.73585891723633,-14.516143798828125,2021-03-19,2021-03-23
AMGN,218.1487274169922,15,221.95233154296875,57.05406188964844,2021-03-24,2021-03-30
TRV,139.20913696289062,24,145.45700073242188,149.94873046875,2021-04-01,2021-04-21
CAT,214.49530029296875,16,212.0344696044922,-39.373291015625,2021-04-23,2021-04-29
CVX,90.54429626464844,38,91.54816436767578,38.14698791503906,2021-05-03,2021-05-11
TRV,142.10198974609375,24,148.70111083984375,158.37890625,2021-05-12,2021-06-01
JNJ,150.4667205810547,24,146.64617919921875,-91.6929931640625,2021-06-02,2021-06-18
MMM,140.4826202392578,25,143.91534423828125,85.81809997558594,2021-06-21,2021-07-12
BA,224.4499969482422,16,217.74000549316406,-107.35986328125,2021-07-14,2021-07-16
HD,292.6835632324219,12,301.761474609375,108.9349365234375,2021-07-19,2021-08-09
VZ,45.40110397338867,81,44.8200798034668,-47.062957763671875,2021-08-10,2021-08-30
TRV,148.4396514892578,24,142.6781005859375,-138.2772216796875,2021-08-31,2021-09-20
IBM,111.26490020751953,31,116.09136962890625,149.62055206298828,2021-09-22,2021-10-12
KO,49.175289154052734,74,50.861610412597656,124.78777313232422,2021-10-13,2021-11-02
TRV,149.77182006835938,25,146.26698303222656,-87.62092590332031,2021-11-03,2021-11-04
MCD,235.0445098876953,15,232.17491149902344,-43.043975830078125,2021-11-08,2021-11-26
HD,375.3094787597656,9,375.3981018066406,0.797607421875,2021-11-29,2021-12-13
AAPL,171.5203399658203,21,169.4837188720703,-42.76904296875,2021-12-14,2021-12-16
BA,192.6300048828125,18,188.47999572753906,-74.70016479492188,2021-12-17,2021-12-20
